Game ID,Player Name,Game Date,Season,Team,Opponent Type,Opponent Team,Minutes Played,Points,Rebounds,Assists,Steals,Blocks,FG Made,FG Attempted,FG %,3P Made,3P Attempted,3P %,FT Made,FT Attempted,FT %,TS%,OREB,DREB,TOV,PF,+/-
1,Giannis Antetokounmpo,1/12/2025,2024-25,MILMIL,Away,NYKNYK,31,24,13,2,0,1,10,21,47.6,0,1,0.0,4,10,40.0,47.2,7,6,4,3,-20
2,Giannis Antetokounmpo,1/10/2025,2024-25,MILMIL,Away,ORLORL,37,41,14,4,3,2,19,29,65.5,0,1,0.0,3,10,30.0,61.4,3,11,3,4,-3
3,Giannis Antetokounmpo,1/8/2025,2024-25,MILMIL,Home,SASSAS,36,25,16,8,0,1,11,21,52.4,0,1,0.0,3,7,42.9,51.9,3,13,4,1,+13
4,Giannis Antetokounmpo,1/6/2025,2024-25,MILMIL,Away,TORTOR,29,11,12,13,0,0,5,8,62.5,0,1,0.0,1,2,50.0,61.9,1,11,7,1,+27
5,Giannis Antetokounmpo,1/4/2025,2024-25,MILMIL,Home,PORPOR,38,31,11,2,2,2,14,27,51.9,0,1,0.0,3,4,75.0,53.9,2,9,4,2,-3
6,Giannis Antetokounmpo,1/2/2025,2024-25,MILMIL,Home,BKNBKN,37,27,13,7,1,3,12,24,50.0,0,0,0,3,10,30.0,47.5,3,10,3,4,+12
7,Giannis Antetokounmpo,12/31/2024,2024-25,MILMIL,Away,INDIND,35,30,12,5,2,0,11,20,55.0,0,0,0,8,13,61.5,58.3,2,10,2,4,+12
8,Giannis Antetokounmpo,12/20/2024,2024-25,MILMIL,Away,CLECLE,30,33,14,3,3,0,13,22,59.1,1,1,100.0,6,10,60.0,62.5,2,12,5,2,-19
9,Giannis Antetokounmpo,12/14/2024,2024-25,MILMIL,Home,ATLATL,38,32,14,9,1,4,10,15,66.7,0,0,0,12,18,66.7,69.8,1,13,1,1,+3
10,Giannis Antetokounmpo,12/10/2024,2024-25,MILMIL,Home,ORLORL,36,37,7,1,2,4,15,24,62.5,0,2,0.0,7,12,58.3,63.2,1,6,6,1,+5
11,Giannis Antetokounmpo,12/8/2024,2024-25,MILMIL,Away,BKNBKN,38,34,11,4,1,3,14,22,63.6,0,0,0,6,10,60.0,64.4,2,9,3,2,+10
12,Giannis Antetokounmpo,12/6/2024,2024-25,MILMIL,Away,BOSBOS,36,30,11,1,0,0,13,25,52.0,0,1,0.0,4,6,66.7,54.3,1,10,1,0,-4
13,Giannis Antetokounmpo,12/4/2024,2024-25,MILMIL,Home,ATLATL,36,31,11,5,1,0,8,14,57.1,0,0,0,15,26,57.7,60.9,4,7,4,2,-11
14,Giannis Antetokounmpo,12/3/2024,2024-25,MILMIL,Away,DETDET,28,28,7,8,0,1,10,11,90.9,0,0,0,8,12,66.7,86.0,1,6,6,2,+18
15,Giannis Antetokounmpo,11/30/2024,2024-25,MILMIL,Home,WASWAS,38,42,12,11,0,1,15,24,62.5,0,0,0,12,17,70.6,66.7,2,10,4,0,+9
16,Giannis Antetokounmpo,11/23/2024,2024-25,MILMIL,Home,CHACHA,31,32,11,6,0,2,12,23,52.2,1,3,33.3,7,10,70.0,58.4,2,9,4,1,-2
17,Giannis Antetokounmpo,11/22/2024,2024-25,MILMIL,Home,INDIND,35,37,10,11,2,1,14,21,66.7,0,0,0,9,11,81.8,71.6,2,8,6,4,+16
18,Giannis Antetokounmpo,11/20/2024,2024-25,MILMIL,Home,CHICHI,35,41,9,8,1,0,17,24,70.8,0,1,0.0,7,14,50.0,68.0,1,8,1,1,+7
19,Giannis Antetokounmpo,11/18/2024,2024-25,MILMIL,Home,HOUHOU,36,20,13,4,0,3,9,17,52.9,0,0,0,2,7,28.6,49.8,2,11,8,3,-2
20,Giannis Antetokounmpo,11/16/2024,2024-25,MILMIL,Away,CHACHA,33,22,15,12,0,2,11,22,50.0,0,1,0.0,0,1,0.0,49.0,2,13,2,2,-2
21,Giannis Antetokounmpo,11/13/2024,2024-25,MILMIL,Home,DETDET,44,59,14,7,2,3,21,34,61.8,1,2,50.0,16,17,94.1,71.1,3,11,3,1,+7
22,Giannis Antetokounmpo,11/12/2024,2024-25,MILMIL,Home,TORTOR,33,23,4,7,0,4,9,12,75.0,0,1,0.0,5,9,55.6,72.1,1,3,4,2,+1
23,Giannis Antetokounmpo,11/10/2024,2024-25,MILMIL,Home,BOSBOS,39,43,13,5,0,2,18,29,62.1,1,2,50.0,6,10,60.0,64.4,1,12,1,4,-6
24,Giannis Antetokounmpo,11/8/2024,2024-25,MILMIL,Away,NYKNYK,32,24,12,2,0,2,11,21,52.4,0,1,0.0,2,6,33.3,50.8,3,9,1,2,-17
25,Giannis Antetokounmpo,11/7/2024,2024-25,MILMIL,Home,UTAUTA,30,31,16,2,1,1,11,21,52.4,0,0,0,9,12,75.0,59.0,6,10,4,5,+27
