Game ID,Player Name,Game Date,Season,Team,Opponent Type,Opponent Team,Minutes Played,Points,Rebounds,Assists,Steals,Blocks,FG Made,FG Attempted,FG %,3P Made,3P Attempted,3P %,FT Made,FT Attempted,FT %,TS%,OREB,DREB,TOV,PF,+/-
1,Shai Gilgeous-Alexander,1/12/2025,2024-25,OKCOKC,Away,WASWAS,30,27,7,4,2,0,5,17,29.4,1,4,25.0,16,17,94.1,55.1,1,6,3,3,+30
2,Shai Gilgeous-Alexander,1/10/2025,2024-25,OKCOKC,Away,NYKNYK,29,39,3,2,2,1,15,21,71.4,1,1,100.0,8,8,100.0,79.5,0,3,2,2,+18
3,Shai Gilgeous-Alexander,1/8/2025,2024-25,OKCOKC,Away,CLECLE,38,31,5,4,3,2,13,27,48.1,1,6,16.7,4,4,100.0,53.9,1,4,5,5,-1
4,Shai Gilgeous-Alexander,1/5/2025,2024-25,OKCOKC,Home,BOSBOS,39,33,11,6,3,2,11,23,47.8,3,6,50.0,8,8,100.0,62.2,2,9,3,2,+12
5,Shai Gilgeous-Alexander,1/3/2025,2024-25,OKCOKC,Home,NYKNYK,37,33,4,7,1,1,12,26,46.2,2,3,66.7,7,7,100.0,56.7,1,3,2,1,+10
6,Shai Gilgeous-Alexander,1/2/2025,2024-25,OKCOKC,Home,LACLAC,30,29,3,8,2,0,9,17,52.9,2,5,40.0,9,9,100.0,69.2,0,3,1,1,+19
7,Shai Gilgeous-Alexander,12/31/2024,2024-25,OKCOKC,Home,MINMIN,34,40,3,2,4,0,15,23,65.2,3,5,60.0,7,9,77.8,74.2,1,2,3,1,+11
8,Shai Gilgeous-Alexander,12/29/2024,2024-25,OKCOKC,Home,MEMMEM,28,35,6,7,1,4,14,19,73.7,1,5,20.0,6,6,100.0,80.9,0,6,1,1,+27
9,Shai Gilgeous-Alexander,12/28/2024,2024-25,OKCOKC,Away,CHACHA,33,22,4,6,2,1,8,15,53.3,1,6,16.7,5,6,83.3,62.4,1,3,6,4,+12
10,Shai Gilgeous-Alexander,12/26/2024,2024-25,OKCOKC,Away,INDIND,38,45,7,8,1,2,15,22,68.2,4,5,80.0,11,11,100.0,83.8,0,7,1,2,+10
11,Shai Gilgeous-Alexander,12/23/2024,2024-25,OKCOKC,Home,WASWAS,35,41,9,3,3,3,14,25,56.0,3,6,50.0,10,10,100.0,69.7,3,6,3,3,+25
12,Shai Gilgeous-Alexander,12/20/2024,2024-25,OKCOKC,Away,MIAMIA,38,25,7,4,2,0,10,25,40.0,3,9,33.3,2,2,100.0,48.3,2,5,3,1,+14
13,Shai Gilgeous-Alexander,12/19/2024,2024-25,OKCOKC,Away,ORLORL,36,35,4,6,4,2,15,26,57.7,1,5,20.0,4,4,100.0,63.0,0,4,4,1,-6
14,Shai Gilgeous-Alexander,12/14/2024,2024-25,OKCOKC,Home,HOUHOU,38,32,8,6,5,1,8,21,38.1,2,6,33.3,14,15,93.3,58.0,0,8,1,3,+16
15,Shai Gilgeous-Alexander,12/10/2024,2024-25,OKCOKC,Home,DALDAL,38,39,8,5,3,1,15,23,65.2,5,9,55.6,4,4,100.0,78.8,0,8,2,3,+22
16,Shai Gilgeous-Alexander,12/7/2024,2024-25,OKCOKC,Away,NOPNOP,34,31,2,4,0,0,10,18,55.6,1,3,33.3,10,12,83.3,66.6,0,2,4,5,-2
17,Shai Gilgeous-Alexander,12/5/2024,2024-25,OKCOKC,Away,TORTOR,30,30,4,5,2,2,11,22,50.0,1,10,10.0,7,8,87.5,58.8,0,4,2,2,+28
18,Shai Gilgeous-Alexander,12/3/2024,2024-25,OKCOKC,Home,UTAUTA,30,26,6,7,3,0,11,19,57.9,2,6,33.3,2,2,100.0,65.4,1,5,0,4,+20
19,Shai Gilgeous-Alexander,12/1/2024,2024-25,OKCOKC,Away,HOUHOU,36,32,8,5,2,0,10,19,52.6,3,7,42.9,9,11,81.8,67.1,2,6,2,2,+6
20,Shai Gilgeous-Alexander,11/29/2024,2024-25,OKCOKC,Away,LALLAL,37,36,6,9,2,1,13,28,46.4,3,10,30.0,7,8,87.5,57.1,3,3,3,3,+13
21,Shai Gilgeous-Alexander,11/27/2024,2024-25,OKCOKC,Away,GSWGSW,39,35,9,5,1,2,13,28,46.4,3,12,25.0,6,10,60.0,54.0,0,9,3,3,+5
22,Shai Gilgeous-Alexander,11/25/2024,2024-25,OKCOKC,Away,SACSAC,35,37,4,11,0,0,13,20,65.0,4,7,57.1,7,11,63.6,74.5,0,4,6,2,+15
23,Shai Gilgeous-Alexander,11/20/2024,2024-25,OKCOKC,Home,PORPOR,39,28,5,4,3,1,7,19,36.8,0,2,0.0,14,14,100.0,55.6,2,3,2,2,+7
24,Shai Gilgeous-Alexander,11/19/2024,2024-25,OKCOKC,Away,SASSAS,37,32,3,8,3,0,11,20,55.0,5,8,62.5,5,6,83.3,70.7,0,3,4,3,+2
25,Shai Gilgeous-Alexander,11/17/2024,2024-25,OKCOKC,Home,DALDAL,38,36,2,8,2,2,13,19,68.4,1,1,100.0,9,11,81.8,75.5,0,2,1,1,+8
